mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MO,2524827,2524.83,2.52,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MO,3985417,3985.42,3.99,17
May-21,May-21,2021/05,May-21,5/31/2021,MO,4679514,4679.51,4.68,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MO,5111580,5111.58,5.11,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MO,5217589,5217.59,5.22,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MP,2709,2.71,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MP,10050,10.05,0.01,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MP,18363,18.36,0.02,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MP,28566,28.57,0.03,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MP,40089,40.09,0.04,17
May-21,May-21,2021/05,May-21,5/31/2021,MP,48584,48.58,0.05,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MP,55616,55.62,0.06,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MP,57308,57.31,0.06,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MS,16950,16.95,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MS,236401,236.4,0.24,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MS,619251,619.25,0.62,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MS,1158505,1158.51,1.16,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MS,1591206,1591.21,1.59,17
May-21,May-21,2021/05,May-21,5/31/2021,MS,1769523,1769.52,1.77,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MS,1909507,1909.51,1.91,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MS,2040132,2040.13,2.04,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MT,17511,17.51,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MT,104525,104.53,0.1,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MT,281422,281.42,0.28,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MT,522897,522.9,0.52,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MT,758111,758.11,0.76,17
May-21,May-21,2021/05,May-21,5/31/2021,MT,867123,867.12,0.87,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MT,940056,940.06,0.94,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MT,952254,952.25,0.95,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NC,88874,88.87,0.09,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NC,951657,951.66,0.95,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NC,2467755,2467.76,2.47,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NC,4691515,4691.52,4.69,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NC,6981220,6981.22,6.98,17
May-21,May-21,2021/05,May-21,5/31/2021,NC,8155949,8155.95,8.16,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NC,9264654,9264.65,9.26,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NC,9433177,9433.18,9.43,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,ND,15958,15.96,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,ND,97915,97.92,0.1,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,ND,234209,234.21,0.23,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,ND,413386,413.39,0.41,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,ND,562151,562.15,0.56,17
May-21,May-21,2021/05,May-21,5/31/2021,ND,614543,614.54,0.61,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,ND,641906,641.91,0.64,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,ND,649993,649.99,0.65,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NE,27487,27.49,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NE,177711,177.71,0.18,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NE,474439,474.44,0.47,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NE,940837,940.84,0.94,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NE,1412904,1412.9,1.41,17
May-21,May-21,2021/05,May-21,5/31/2021,NE,1694344,1694.34,1.69,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NE,1865625,1865.63,1.87,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NE,1891368,1891.37,1.89,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NH,25364,25.36,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NH,128313,128.31,0.13,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NH,321602,321.6,0.32,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NH,614984,614.98,0.61,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NH,1142049,1142.05,1.14,17
May-21,May-21,2021/05,May-21,5/31/2021,NH,1385761,1385.76,1.39,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NH,1515365,1515.37,1.52,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NH,1563664,1563.66,1.56,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NJ,78838,78.84,0.08,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NJ,795440,795.44,0.8,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NJ,2065666,2065.67,2.07,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NJ,4381035,4381.04,4.38,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NJ,7302231,7302.23,7.3,17
May-21,May-21,2021/05,May-21,5/31/2021,NJ,9110414,9110.41,9.11,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NJ,9841494,9841.49,9.84,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NJ,10041464,10041.46,10.04,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NM,30528,30.53,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NM,264147,264.15,0.26,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NM,705538,705.54,0.71,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NM,1258002,1258,1.26,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NM,1794170,1794.17,1.79,17
May-21,May-21,2021/05,May-21,5/31/2021,NM,2151860,2151.86,2.15,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NM,2380294,2380.29,2.38,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NM,2423811,2423.81,2.42,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NV,25645,25.65,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NV,241078,241.08,0.24,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NV,685692,685.69,0.69,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NV,1348526,1348.53,1.35,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NV,2051105,2051.11,2.05,17
May-21,May-21,2021/05,May-21,5/31/2021,NV,2510235,2510.24,2.51,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NV,2776098,2776.1,2.78,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NV,2847160,2847.16,2.85,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,NY,198125,198.13,0.2,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,NY,1875462,1875.46,1.88,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,NY,4225250,4225.25,4.23,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,NY,9261975,9261.98,9.26,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,NY,15636609,15636.61,15.64,17
May-21,May-21,2021/05,May-21,5/31/2021,NY,19672244,19672.24,19.67,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,NY,21790497,21790.5,21.79,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,NY,22257494,22257.49,22.26,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,OH,94126,94.13,0.09,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,OH,954013,954.01,0.95,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,OH,2599806,2599.81,2.6,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,OH,5295592,5295.59,5.3,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,OH,8366253,8366.25,8.37,17
May-21,May-21,2021/05,May-21,5/31/2021,OH,9907511,9907.51,9.91,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,OH,10684968,10684.97,10.68,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,OH,10844246,10844.25,10.84,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,OK,46609,46.61,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,OK,437985,437.99,0.44,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,OK,1095362,1095.36,1.1,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,OK,1930169,1930.17,1.93,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,OK,2681258,2681.26,2.68,17
May-21,May-21,2021/05,May-21,5/31/2021,OK,2959139,2959.14,2.96,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,OK,3267350,3267.35,3.27,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,OK,3328162,3328.16,3.33,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,OR,31386,31.39,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,OR,407890,407.89,0.41,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,OR,994403,994.4,0.99,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,OR,1854126,1854.13,1.85,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,OR,3047017,3047.02,3.05,17
May-21,May-21,2021/05,May-21,5/31/2021,OR,4073216,4073.22,4.07,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,OR,4517691,4517.69,4.52,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,OR,4642891,4642.89,4.64,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,PA,143381,143.38,0.14,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,PA,1088172,1088.17,1.09,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,PA,2751844,2751.84,2.75,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,PA,6056762,6056.76,6.06,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,PA,10051650,10051.65,10.05,17
May-21,May-21,2021/05,May-21,5/31/2021,PA,12587891,12587.89,12.59,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,PA,13873980,13873.98,13.87,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,PA,14139778,14139.78,14.14,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,PR,35300,35.3,0.04,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,PR,249394,249.39,0.25,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,PR,549615,549.62,0.55,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,PR,1088065,1088.07,1.09,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,PR,1885594,1885.59,1.89,17
May-21,May-21,2021/05,May-21,5/31/2021,PR,2709134,2709.13,2.71,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,PR,3230732,3230.73,3.23,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,PR,3837957,3837.96,3.84,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,RI,13166,13.17,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,RI,91177,91.18,0.09,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,RI,256755,256.76,0.26,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,RI,559186,559.19,0.56,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,RI,913120,913.12,0.91,17
May-21,May-21,2021/05,May-21,5/31/2021,RI,1163595,1163.6,1.16,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,RI,1276058,1276.06,1.28,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,RI,1296707,1296.71,1.3,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,RP,0,0,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,RP,3110,3.11,0,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,RP,8185,8.19,0.01,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,RP,13381,13.38,0.01,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,RP,20160,20.16,0.02,17
May-21,May-21,2021/05,May-21,5/31/2021,RP,24225,24.23,0.02,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,RP,25123,25.12,0.03,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,RP,25416,25.42,0.03,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,SC,50258,50.26,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,SC,439541,439.54,0.44,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,SC,1086550,1086.55,1.09,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,SC,2150462,2150.46,2.15,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,SC,3241756,3241.76,3.24,17
May-21,May-21,2021/05,May-21,5/31/2021,SC,3774914,3774.91,3.77,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,SC,4190059,4190.06,4.19,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,SC,4268342,4268.34,4.27,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,SD,21154,21.15,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,SD,105961,105.96,0.11,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,SD,278285,278.29,0.28,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,SD,496601,496.6,0.5,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,SD,699187,699.19,0.7,17
May-21,May-21,2021/05,May-21,5/31/2021,SD,776141,776.14,0.78,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,SD,819287,819.29,0.82,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,SD,829378,829.38,0.83,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,TN,87338,87.34,0.09,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,TN,609213,609.21,0.61,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,TN,1359382,1359.38,1.36,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,TN,2655309,2655.31,2.66,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,TN,4009536,4009.54,4.01,17
May-21,May-21,2021/05,May-21,5/31/2021,TN,4852489,4852.49,4.85,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,TN,5272627,5272.63,5.27,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,TN,5550888,5550.89,5.55,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,TX,518000,518,0.52,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,TX,2408879,2408.88,2.41,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,TX,5566612,5566.61,5.57,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,TX,11604088,11604.09,11.6,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,TX,18885671,18885.67,18.89,17
May-21,May-21,2021/05,May-21,5/31/2021,TX,22990898,22990.9,22.99,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,TX,25686380,25686.38,25.69,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,TX,26283364,26283.36,26.28,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,US,3738130,3738.13,3.74,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,US,31123299,31123.3,31.12,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,US,75236003,75236,75.24,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,US,150273292,150273.29,150.27,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,US,240159677,240159.68,240.16,17
May-21,May-21,2021/05,May-21,5/31/2021,US,295891325,295891.33,295.89,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,US,326521526,326521.53,326.52,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,US,334600770,334600.77,334.6,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,UT,24295,24.3,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,UT,286501,286.5,0.29,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,UT,688505,688.51,0.69,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,UT,1327487,1327.49,1.33,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,UT,2116254,2116.25,2.12,17
May-21,May-21,2021/05,May-21,5/31/2021,UT,2589347,2589.35,2.59,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,UT,2847810,2847.81,2.85,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,UT,2896494,2896.49,2.9,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,VA,79421,79.42,0.08,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,VA,833221,833.22,0.83,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,VA,2086194,2086.19,2.09,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,VA,4056991,4056.99,4.06,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,VA,6643728,6643.73,6.64,17
May-21,May-21,2021/05,May-21,5/31/2021,VA,8356712,8356.71,8.36,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,VA,9230660,9230.66,9.23,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,VA,9408585,9408.59,9.41,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,VA2,87672,87.67,0.09,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,VA2,932278,932.28,0.93,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,VA2,2303674,2303.67,2.3,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,VA2,3910012,3910.01,3.91,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,VA2,4922347,4922.35,4.92,17
May-21,May-21,2021/05,May-21,5/31/2021,VA2,5257074,5257.07,5.26,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,VA2,5355010,5355.01,5.36,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,VA2,5381527,5381.53,5.38,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,VI,706,0.71,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,VI,6008,6.01,0.01,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,VI,19369,19.37,0.02,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,VI,40979,40.98,0.04,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,VI,62302,62.3,0.06,17
May-21,May-21,2021/05,May-21,5/31/2021,VI,71130,71.13,0.07,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,VI,77969,77.97,0.08,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,VI,79706,79.71,0.08,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,VT,12241,12.24,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,VT,67180,67.18,0.07,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,VT,162558,162.56,0.16,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,VT,328451,328.45,0.33,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,VT,563428,563.43,0.56,17
May-21,May-21,2021/05,May-21,5/31/2021,VT,774149,774.15,0.77,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,VT,851583,851.58,0.85,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,VT,860701,860.7,0.86,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,WA,64077,64.08,0.06,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,WA,684344,684.34,0.68,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,WA,1729208,1729.21,1.73,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,WA,3586736,3586.74,3.59,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,WA,5828363,5828.36,5.83,17
May-21,May-21,2021/05,May-21,5/31/2021,WA,7653428,7653.43,7.65,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,WA,8563778,8563.78,8.56,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,WA,8779636,8779.64,8.78,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,WI,55441,55.44,0.06,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,WI,491058,491.06,0.49,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,WI,1470570,1470.57,1.47,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,WI,2905410,2905.41,2.91,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,WI,4644336,4644.34,4.64,17
May-21,May-21,2021/05,May-21,5/31/2021,WI,5481395,5481.4,5.48,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,WI,5906485,5906.49,5.91,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,WI,6022721,6022.72,6.02,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,WV,52837,52.84,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,WV,259774,259.77,0.26,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,WV,532295,532.3,0.53,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,WV,874459,874.46,0.87,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,WV,1173419,1173.42,1.17,17
May-21,May-21,2021/05,May-21,5/31/2021,WV,1315912,1315.91,1.32,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,WV,1417620,1417.62,1.42,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,WV,1478365,1478.37,1.48,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,WY,4763,4.76,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,WY,57023,57.02,0.06,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,WY,156397,156.4,0.16,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,WY,262406,262.41,0.26,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,WY,356057,356.06,0.36,17
May-21,May-21,2021/05,May-21,5/31/2021,WY,395629,395.63,0.4,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,WY,421749,421.75,0.42,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,WY,434942,434.94,0.43,28
