Year,Month,Total Cases,Total
2020,Jan-20,41,0
2020,Feb-20,736,1
2020,Mar-20,1095533,20322
2020,Apr-20,19611702,990495
2020,May-20,45452104,2695260
2020,Jun-20,65288844,3498954
2020,Jul-20,111626136,4307836
2020,Aug-20,166758791,5259819
2020,Sep-20,199758779,5879775
2020,Oct-20,252794113,6774225
2020,Nov-20,338932424,7449571
2020,Dec-20,525970108,9537613
2021,Jan-21,729983851,12216246
2021,Feb-21,773617709,13511297
2021,Mar-21,916857453,16598892
2021,Apr-21,944997168,16938705
2021,May-21,1020492786,18153711
2021,Jun-21,1003872292,18001792